New Trait 1,New Trait 2,New Trait 3,BaseID,New Unit,Cost,HP1,HP2,HP3,AD1,AD2,AD3,Range,AS,AR,MR,Starting Mana,Skill Mana,Skill Stats
Orc,Mage,None,odoc,Witch Doctor,4,700,1260,2268,40,60,90,700,1.33,30,30,0,30,Damage: 275% / 410% / 820% of spell power Enhanced damage: 480% / 720% / 1440% of spell power
Orc,Reaver,None,otau,Tauren,4,950,1710,3078,60,90,135,100,1.18,50,50,10,50,Hit damage: 190% / 190% / 380% of attack power Charge Damage: 80% / 120% / 400% of Spell Power
Murloc,Reaver,None,nmpg,Plaguebearer,4,1000,1800,3240,70,105,158,100,1.11,65,65,0,60,Dagger Baptistry damage: 275% / 275% / 550% of attack power Mana returned: 12% / 12% / 20% of spell power
Fae,Defender,None,ewsp,Wisp,3,900,1620,2916,45,68,101,100,1.54,55,55,0,45,Damage: 80% / 120% / 190% of spell power Total Damage: Damage + 150% / 175% / 200% of Defense
Fae,Mage,None,edry,Dryad,1,450,810,1458,40,60,90,700,1.54,20,20,0,50,Damage: 220% / 330% / 495% of spell power Damage per additional use: 80% / 120% / 180% of spell power
Naga,Ranger,None,nnsw,Siren,2,600,1080,1944,55,83,124,700,1.33,20,20,40,135,Stun Duration: 1.5 / 1.5 / 2 Damage: 725% of attack power Damage %: 10% of spell power Damage to surrounding enemies: Damage % * Damage
Revenant,Sorceror,None,ntrv,Tide,2,550,990,1782,40,60,90,700,1.43,20,20,15,60,Note: 200% / 300% / 450% of Spell Power Ancient Bell: 120% / 150% / 180% of spell power Street performance: 1% / 1% / 3% Headliner Note Damage: 85 / 125 / 190
Nerubian,Warden,None,nnws,Spider Lord,4,1000,1800,3240,60,90,135,100,1.67,60,60,60,120,Blast damage: 100% / 150% / 1000% of spell power Shield: 600% / 750% / 2000% of spell power
Human,Ranger,None,hrif,Rifleman,4,700,1260,2268,70,105,158,700,1.25,30,30,0,90,Damage proportional to attack power: 360% / 360% / 750% of attack power Damage proportional to spell power: 40% / 60% / 200% of spell power Total damage: damage proportional to attack power + damage proportional to spell power
Human,Marksman,None,hgyr,Gyro,1,450,810,1458,48,72,108,700,1.43,15,15,15,60,Damage: 320% of attack power Duration: 5% of spell power
Murloc,Warden,Mage,nmrm,Nightcrawler,3,850,1530,2754,50,75,113,100,1.54,40,40,50,125,Shield: 400% / 450% / 550% of spell power Damage: 60% / 90% / 145% of spell power
Orc,Berserker,None,ogru,Grunt,1,550,990,1782,45,68,101,100,1.43,35,35,30,90,Damage: 200% / 300% / 450% of spell power Health Recovery: 25 / 30 / 35
